#time Tmin Tmax uniTmin uniTmax Amin Amax Avar
51.5	-0.0049004 0.99869	1 1	0.996929 1.00393	9.4246e-08
52	-0.00491918 0.999166	1 1	0.996898 1.00397	9.59022e-08
52.5	-0.00489306 0.999428	1 1	0.996858 1.00401	9.77325e-08
53	-0.00490181 0.999497	1 1	0.996817 1.00406	9.9645e-08
53.5	-0.00488219 0.999413	1 1	0.996777 1.00411	1.01524e-07
54	-0.00489772 0.999161	1 1	0.996734 1.00415	1.03535e-07
54.5	-0.00495847 0.998738	1 1	0.996686 1.0042	1.05771e-07
55	-0.00502502 0.998099	1 1	0.996641 1.00424	1.07847e-07
55.5	-0.00505978 0.997276	1 1	0.996598 1.00429	1.0981e-07
56	-0.00508909 0.997149	1 1	0.996558 1.00433	1.11645e-07
56.5	-0.00510638 0.997272	1 1	0.996521 1.00438	1.13448e-07
57	-0.00510819 0.997391	1 1	0.996478 1.00443	1.15508e-07
57.5	-0.00512284 0.99802	1 1	0.996436 1.00448	1.17499e-07
58	-0.00509472 0.998497	1 1	0.9964 1.00452	1.19258e-07
58.5	-0.00511661 0.998796	1 1	0.996366 1.00455	1.20965e-07
59	-0.0051011 0.998924	1 1	0.99633 1.00459	1.22757e-07
59.5	-0.00508187 0.998898	1 1	0.996287 1.00464	1.24844e-07
60	-0.00509948 0.998685	1 1	0.996248 1.0047	1.26839e-07
60.5	-0.005166 0.998309	1 1	0.996204 1.00477	1.29106e-07
61	-0.00520077 0.997714	1 1	0.99616 1.00484	1.31278e-07
61.5	-0.00524145 0.998107	1 1	0.996116 1.00491	1.33409e-07
62	-0.00526399 0.998413	1 1	0.996074 1.00497	1.35579e-07
62.5	-0.00527274 0.99853	1 1	0.996031 1.00502	1.37874e-07
63	-0.00529541 0.998451	1 1	0.99599 1.00508	1.40127e-07
63.5	-0.00527856 0.998184	1 1	0.995947 1.00514	1.42533e-07
64	-0.00529956 0.997721	1 1	0.995911 1.00519	1.44649e-07
64.5	-0.00529664 0.997832	1 1	0.995878 1.00524	1.46678e-07
65	-0.00526708 0.998029	1 1	0.995846 1.00528	1.48697e-07
65.5	-0.00529257 0.998043	1 1	0.995813 1.00532	1.50808e-07
66	-0.00527884 0.997873	1 1	0.995781 1.00536	1.52952e-07
66.5	-0.00529186 0.99755	1 1	0.995748 1.00541	1.55223e-07
67	-0.00533703 0.99795	1 1	0.995718 1.00547	1.5735e-07
67.5	-0.00537312 0.998494	1 1	0.99569 1.00552	1.59417e-07
68	-0.00537812 0.998824	1 1	0.995661 1.00557	1.61625e-07
68.5	-0.00541886 0.998939	1 1	0.995631 1.00562	1.64033e-07
69	-0.00542608 0.998895	1 1	0.995604 1.00567	1.66385e-07
69.5	-0.00542823 0.998657	1 1	0.995578 1.00571	1.68839e-07
70	-0.00545112 0.998231	1 1	0.995552 1.00576	1.71361e-07
70.5	-0.00543659 0.997584	1 1	0.99553 1.00579	1.73667e-07
71	-0.00544104 0.997326	1 1	0.995501 1.00584	1.75995e-07
71.5	-0.00545574 0.997455	1 1	0.995448 1.00592	1.78519e-07
72	-0.00543301 0.997359	1 1	0.995397 1.006	1.81062e-07
72.5	-0.00543015 0.997114	1 1	0.995348 1.00607	1.83522e-07
73	-0.0054496 0.997868	1 1	0.9953 1.00614	1.85844e-07
73.5	-0.00543321 0.998437	1 1	0.995252 1.00621	1.8811e-07
74	-0.00545959 0.998799	1 1	0.995204 1.00627	1.90393e-07
74.5	-0.0054971 0.998947	1 1	0.995152 1.00633	1.92907e-07
75	-0.00550473 0.998935	1 1	0.995099 1.0064	1.95549e-07
75.5	-0.0055236 0.998745	1 1	0.995048 1.00646	1.98144e-07
76	-0.00554747 0.99835	1 1	0.995 1.00652	2.00669e-07
76.5	-0.00553741 0.997737	1 1	0.994958 1.00657	2.03003e-07
77	-0.00555069 0.99712	1 1	0.994915 1.00662	2.05426e-07
77.5	-0.00556917 0.99734	1 1	0.994873 1.00668	2.07972e-07
78	-0.00555401 0.997383	1 1	0.994832 1.00675	2.10541e-07
78.5	-0.00555246 0.997221	1 1	0.994795 1.00681	2.12981e-07
79	-0.00557837 0.997503	1 1	0.99476 1.00688	2.15241e-07
79.5	-0.00556898 0.9981	1 1	0.994728 1.00694	2.17424e-07
80	-0.00553026 0.998497	1 1	0.994694 1.00701	2.19797e-07
80.5	-0.00557141 0.998698	1 1	0.994662 1.00707	2.22275e-07
81	-0.00557727 0.998705	1 1	0.99463 1.00713	2.25035e-07
81.5	-0.00554754 0.998566	1 1	0.994605 1.00719	2.27449e-07
82	-0.00556578 0.998193	1 1	0.994584 1.00725	2.29685e-07
82.5	-0.0055742 0.997621	1 1	0.994564 1.00734	2.31969e-07
83	-0.00557056 0.997448	1 1	0.994548 1.00745	2.34265e-07
83.5	-0.00560708 0.997747	1 1	0.994532 1.00757	2.36883e-07
84	-0.00561343 0.997878	1 1	0.994523 1.00767	2.39468e-07
84.5	-0.00559033 0.997828	1 1	0.994516 1.00779	2.42372e-07
85	-0.00562596 0.997601	1 1	0.994516 1.0079	2.45058e-07
85.5	-0.00564115 0.997316	1 1	0.994521 1.00801	2.47707e-07
86	-0.00562441 0.997762	1 1	0.994465 1.00813	2.50594e-07
86.5	-0.0056253 0.998016	1 1	0.994404 1.00824	2.53251e-07
87	-0.00565459 0.998044	1 1	0.994347 1.00836	2.56266e-07
87.5	-0.00565327 0.99792	1 1	0.994296 1.00848	2.59102e-07
88	-0.00561793 0.997583	1 1	0.994255 1.00858	2.61425e-07
88.5	-0.00564052 0.997338	1 1	0.994216 1.00869	2.63907e-07
89	-0.00566348 0.997912	1 1	0.994171 1.00882	2.66793e-07
89.5	-0.00565393 0.998292	1 1	0.99413 1.00893	2.69776e-07
90	-0.00561165 0.998496	1 1	0.99409 1.00904	2.72835e-07
90.5	-0.00563758 0.998535	1 1	0.994051 1.00916	2.76118e-07
91	-0.00566258 0.99844	1 1	0.994012 1.00927	2.7968e-07
91.5	-0.00565435 0.998181	1 1	0.993981 1.00938	2.83162e-07
92	-0.00561519 0.997754	1 1	0.993959 1.00949	2.86588e-07
92.5	-0.00562162 0.99719	1 1	0.99394 1.00962	2.90671e-07
93	-0.0056542 0.996487	1 1	0.99393 1.00973	2.94593e-07
93.5	-0.00565306 0.996454	1 1	0.993932 1.00991	2.98577e-07
94	-0.00564725 0.996211	1 1	0.993943 1.0101	3.02421e-07
94.5	-0.00562793 0.997063	1 1	0.993965 1.0103	3.06379e-07
95	-0.00563465 0.997736	1 1	0.994 1.01049	3.10544e-07
95.5	-0.00566532 0.998221	1 1	0.99405 1.01068	3.15133e-07
96	-0.00566939 0.998555	1 1	0.994079 1.01087	3.19709e-07
96.5	-0.00564511 0.998759	1 1	0.994022 1.01101	3.23833e-07
97	-0.00564325 0.998832	1 1	0.993974 1.01115	3.27743e-07
97.5	-0.00567649 0.998748	1 1	0.993927 1.01128	3.31947e-07
98	-0.00568293 0.998509	1 1	0.993884 1.01139	3.36175e-07
98.5	-0.00566175 0.998143	1 1	0.993839 1.01151	3.41131e-07
99	-0.00563237 0.997628	1 1	0.993798 1.01162	3.46314e-07
99.5	-0.00567555 0.996988	1 1	0.993769 1.0117	3.51313e-07
100	-0.00569027 0.996797	1 1	0.993763 1.01177	3.5601e-07
100.5	-0.00567622 0.997102	1 1	0.993775 1.01183	3.60127e-07
101	-0.00563215 0.997275	1 1	0.993807 1.01188	3.64257e-07
101.5	-0.00565918 0.997274	1 1	0.993847 1.01193	3.68228e-07
102	-0.00568834 0.997123	1 1	0.993907 1.01197	3.71524e-07
102.5	-0.00569021 0.997123	1 1	0.993992 1.01199	3.74544e-07
103	-0.00566357 0.997426	1 1	0.994076 1.01201	3.7695e-07
103.5	-0.00562151 0.997591	1 1	0.994024 1.01201	3.79065e-07
104	-0.00566996 0.997675	1 1	0.993964 1.012	3.80781e-07
104.5	-0.0056933 0.997644	1 1	0.993917 1.01198	3.8231e-07
105	-0.00568902 0.997464	1 1	0.993888 1.01195	3.83773e-07
105.5	-0.00565634 0.997198	1 1	0.993867 1.0119	3.85149e-07
106	-0.00562901 0.996817	1 1	0.993865 1.01184	3.8637e-07
106.5	-0.0056744 0.997175	1 1	0.993886 1.01177	3.87104e-07
107	-0.00569513 0.997664	1 1	0.993927 1.01172	3.87604e-07
