#time Tmin Tmax uniTmin uniTmax Amin Amax Avar
16.5	-0.00276392 0.999303	1 1	0.7662 1.22331	0.000153493
17	-0.00285266 0.998729	1 1	0.762837 1.22945	0.000154656
17.5	-0.00291042 0.99861	1 1	0.759284 1.23861	0.00015972
18	-0.00292506 0.999206	1 1	0.755748 1.20941	0.000150619
18.5	-0.00291115 0.999628	1 1	0.751812 1.20114	0.000149233
19	-0.00287728 0.999855	1 1	0.748377 1.20315	0.000145837
19.5	-0.00285556 0.999903	1 1	0.745477 1.23127	0.000151365
20	-0.00295363 0.999793	1 1	0.763002 1.22257	0.000150381
20.5	-0.00308159 0.999523	1 1	0.759611 1.21437	0.000150757
21	-0.00318163 0.999069	1 1	0.756745 1.21687	0.000146872
21.5	-0.00324661 0.99845	1 1	0.753768 1.21986	0.000137685
22	-0.00327002 0.998195	1 1	0.75026 1.22255	0.00013926
22.5	-0.00324625 0.998719	1 1	0.747109 1.22473	0.000145233
23	-0.00319979 0.999062	1 1	0.744171 1.22761	0.000143111
23.5	-0.00315585 0.999212	1 1	0.741016 1.16948	0.00013297
24	-0.00319144 0.999178	1 1	0.737539 1.1613	0.000130694
24.5	-0.00333899 0.998986	1 1	0.709185 1.15744	0.000140344
25	-0.0034546 0.998642	1 1	0.73054 1.15436	0.000130459
25.5	-0.0035403 0.998135	1 1	0.727197 1.15141	0.000128623
26	-0.00358608 0.997458	1 1	0.723962 1.16798	0.000129024
26.5	-0.00358829 0.996882	1 1	0.721215 1.24066	0.00012819
27	-0.00355163 0.997268	1 1	0.718288 1.2156	0.000128996
27.5	-0.00351513 0.997824	1 1	0.715622 1.21337	0.000124255
28	-0.00348418 0.998351	1 1	0.713058 1.24548	0.000125006
28.5	-0.00350744 0.998704	1 1	0.7097 1.21634	0.000122152
29	-0.00365353 0.998868	1 1	0.705763 1.19507	0.000121394
29.5	-0.00376574 0.998918	1 1	0.702074 1.20945	0.00012283
30	-0.00384439 0.998762	1 1	0.7844 1.16259	0.000110156
30.5	-0.00388823 0.998394	1 1	0.781506 1.16719	0.000113744
31	-0.00389663 0.997832	1 1	0.787064 1.18932	0.000113176
31.5	-0.00387498 0.998561	1 1	0.783267 1.17482	0.000113572
32	-0.00384418 0.99913	1 1	0.789133 1.17721	0.000113829
32.5	-0.00381991 0.999537	1 1	0.786715 1.17346	0.000115725
33	-0.0037902 0.999742	1 1	0.785064 1.18405	0.000117924
33.5	-0.00391947 0.999764	1 1	0.783796 1.17074	0.000120279
34	-0.00402162 0.999644	1 1	0.782687 1.20906	0.000120343
34.5	-0.00410605 0.999341	1 1	0.781378 1.20864	0.000122009
35	-0.00416121 0.998849	1 1	0.779899 1.22713	0.000124382
35.5	-0.00417564 0.998209	1 1	0.777938 1.18523	0.000123073
36	-0.00417938 0.998038	1 1	0.776203 1.19756	0.000121806
36.5	-0.00416535 0.998499	1 1	0.774732 1.20753	0.000125706
37	-0.00412829 0.99873	1 1	0.773198 1.21899	0.000128099
37.5	-0.00411752 0.998791	1 1	0.771363 1.23132	0.000142035
38	-0.0041201 0.998675	1 1	0.769692 1.24264	0.000141201
38.5	-0.00423628 0.9984	1 1	0.767831 1.25542	0.000144503
39	-0.00432104 0.997979	1 1	0.802539 1.26798	0.000141932
39.5	-0.0043881 0.997469	1 1	0.809443 1.27866	0.000135815
40	-0.00442945 0.997265	1 1	0.799713 1.22534	0.000134768
