#time Tmin Tmax uniTmin uniTmax Amin Amax
89.5	-0.00565393 0.998292	1 1	0.99413 1.00893
90	-0.00561165 0.998496	1 1	0.99409 1.00904
90.5	-0.00563758 0.998535	1 1	0.994051 1.00916
91	-0.00566258 0.99844	1 1	0.994012 1.00927
91.5	-0.00565435 0.998181	1 1	0.993981 1.00938
92	-0.00561519 0.997754	1 1	0.993959 1.00949
92.5	-0.00562162 0.99719	1 1	0.99394 1.00962
93	-0.0056542 0.996487	1 1	0.99393 1.00973
93.5	-0.00565306 0.996454	1 1	0.993932 1.00991
94	-0.00564725 0.996211	1 1	0.993943 1.0101
94.5	-0.00562793 0.997063	1 1	0.993965 1.0103
95	-0.00563465 0.997736	1 1	0.994 1.01049
95.5	-0.00566532 0.998221	1 1	0.99405 1.01068
96	-0.00566939 0.998555	1 1	0.994079 1.01087
96.5	-0.00564511 0.998759	1 1	0.994022 1.01101
97	-0.00564325 0.998832	1 1	0.993974 1.01115
97.5	-0.00567649 0.998748	1 1	0.993927 1.01128
98	-0.00568293 0.998509	1 1	0.993884 1.01139
98.5	-0.00566175 0.998143	1 1	0.993839 1.01151
99	-0.00563237 0.997628	1 1	0.993798 1.01162
99.5	-0.00567555 0.996988	1 1	0.993769 1.0117
100	-0.00569027 0.996797	1 1	0.993763 1.01177
100.5	-0.00567622 0.997102	1 1	0.993775 1.01183
101	-0.00563215 0.997275	1 1	0.993807 1.01188
101.5	-0.00565918 0.997274	1 1	0.993847 1.01193
102	-0.00568834 0.997123	1 1	0.993907 1.01197
102.5	-0.00569021 0.997123	1 1	0.993992 1.01199
103	-0.00566357 0.997426	1 1	0.994076 1.01201
103.5	-0.00562151 0.997591	1 1	0.994024 1.01201
104	-0.00566996 0.997675	1 1	0.993964 1.012
104.5	-0.0056933 0.997644	1 1	0.993917 1.01198
105	-0.00568902 0.997464	1 1	0.993888 1.01195
105.5	-0.00565634 0.997198	1 1	0.993867 1.0119
106	-0.00562901 0.996817	1 1	0.993865 1.01184
106.5	-0.0056744 0.997175	1 1	0.993886 1.01177
107	-0.00569513 0.997664	1 1	0.993927 1.01172
107.5	-0.00569086 0.997998	1 1	0.993951 1.01171
108	-0.00566089 0.998283	1 1	0.993978 1.01168
108.5	-0.00561974 0.998506	1 1	0.994013 1.01165
109	-0.00566864 0.998625	1 1	0.994029 1.01159
109.5	-0.00569417 0.998657	1 1	0.99405 1.01153
110	-0.00569452 0.998598	1 1	0.994078 1.01146
110.5	-0.0056684 0.998422	1 1	0.994022 1.0114
111	-0.0056211 0.99818	1 1	0.993971 1.01137
111.5	-0.00565874 0.997775	1 1	0.993929 1.01134
112	-0.0056898 0.997272	1 1	0.993898 1.01129
112.5	-0.00569779 0.996644	1 1	0.993874 1.01124
113	-0.00568155 0.996434	1 1	0.99385 1.01117
113.5	-0.00564052 0.996721	1 1	0.993829 1.0111
114	-0.00563783 0.996929	1 1	0.993828 1.01103
114.5	-0.00567859 0.997012	1 1	0.993839 1.011
115	-0.00569863 0.996978	1 1	0.993859 1.01096
115.5	-0.00569512 0.997011	1 1	0.993878 1.01092
116	-0.00566534 0.99729	1 1	0.993894 1.01087
116.5	-0.00564542 0.997392	1 1	0.993921 1.01082
117	-0.00565537 0.997324	1 1	0.99395 1.01077
117.5	-0.00568765 0.997133	1 1	0.993983 1.01071
118	-0.00569945 0.996804	1 1	0.994017 1.01065
118.5	-0.00568879 0.996747	1 1	0.994049 1.01063
119	-0.00565659 0.997482	1 1	0.994082 1.01061
119.5	-0.0056576 0.998034	1 1	0.994116 1.01058
120	-0.00564735 0.998402	1 1	0.994155 1.01054
120.5	-0.00567955 0.99857	1 1	0.994201 1.0105
121	-0.00569246 0.998539	1 1	0.994253 1.01044
121.5	-0.00568604 0.998325	1 1	0.994313 1.01038
122	-0.00565723 0.997874	1 1	0.99437 1.01033
122.5	-0.00566765 0.997178	1 1	0.994426 1.01031
123	-0.0056622 0.997573	1 1	0.994455 1.01028
123.5	-0.00565285 0.997976	1 1	0.994481 1.01025
124	-0.00567528 0.998188	1 1	0.994509 1.01022
124.5	-0.0056788 0.998177	1 1	0.994539 1.01017
125	-0.00566266 0.997971	1 1	0.994578 1.01012
125.5	-0.00568558 0.997534	1 1	0.994621 1.01007
126	-0.00568864 0.996845	1 1	0.994662 1.01002
126.5	-0.00572113 0.996628	1 1	0.994701 1.00998
127	-0.00573526 0.996962	1 1	0.994741 1.00996
127.5	-0.00571836 0.997064	1 1	0.994782 1.00993
128	-0.00568676 0.997314	1 1	0.994831 1.0099
128.5	-0.00571043 0.997249	1 1	0.994858 1.00986
