10.625 9.79611e-05  0
10.75 0.00210667  3
10.875 0.000652669  2
11 0.000104882  1
11.125 3.1121e-05  0
11.25 0.00186373  3
11.375 0.000554773  2
11.5 9.02496e-05  0
11.625 9.02496e-05  0
11.75 0.00166003  3
11.875 0.000522864  2
12 8.40016e-05  0
12.125 8.40016e-05  0
12.25 0.00156899  3
12.375 0.000501434  2
12.5 8.07312e-05  0
12.625 8.07312e-05  0
12.75 0.00157935  3
12.875 0.000500878  2
13 7.95632e-05  0
13.125 7.95632e-05  0
13.25 0.00176873  3
13.375 0.000530212  2
13.5 8.75885e-05  0
13.625 8.75885e-05  0
13.75 0.00176086  3
13.875 0.000525412  2
14 8.74472e-05  0
14.125 8.74472e-05  0
14.25 0.00196427  3
14.375 0.00060087  2
14.5 9.83997e-05  0
14.625 9.83997e-05  0
14.75 0.00183967  3
14.875 0.000587839  2
15 9.34816e-05  0
15.125 9.34816e-05  0
15.25 0.00192269  3
15.375 0.000612274  2
15.5 9.72068e-05  0
15.625 9.72068e-05  0
15.75 0.00169656  3
15.875 0.000543783  2
16 8.63033e-05  0
16.125 8.63033e-05  0
16.25 0.00167562  3
16.375 0.000528745  2
16.5 8.41743e-05  0
16.625 8.41743e-05  0
16.75 0.00166704  3
16.875 0.000526501  1
17 0.000131264  1
17.125 2.69464e-05  0
17.25 0.00178153  3
17.375 0.00053412  2
17.5 8.84852e-05  0
17.625 8.84852e-05  0
17.75 0.00181135  3
17.875 0.000540694  2
18 8.96825e-05  0
18.125 8.96825e-05  0
18.25 0.00176743  3
18.375 0.000539366  2
18.5 8.80437e-05  0
18.625 8.80437e-05  0
18.75 0.00178898  3
18.875 0.000565579  2
19 9.06827e-05  0
19.125 9.06827e-05  0
19.25 0.00181447  3
19.375 0.000575379  2
19.5 9.18445e-05  0
19.625 9.18445e-05  0
19.75 0.00177139  3
19.875 0.000558577  2
20 8.93291e-05  0
20.125 8.93291e-05  0
20.25 0.0017561  3
20.375 0.000547991  2
20.5 9.00398e-05  0
20.625 9.00398e-05  0
20.75 0.00178622  3
20.875 0.00055725  2
21 9.21698e-05  0
21.125 9.21698e-05  0
21.25 0.00179387  3
21.375 0.000570965  2
21.5 9.21268e-05  0
21.625 9.21268e-05  0
21.75 0.00176391  3
21.875 0.000557092  2
22 9.09316e-05  0
22.125 9.09316e-05  0
22.25 0.00173002  3
22.375 0.000537322  2
22.5 8.71204e-05  0
22.625 8.71204e-05  0
22.75 0.00173975  3
22.875 0.000538893  2
23 8.65449e-05  0
23.125 8.65449e-05  0
23.25 0.00183549  3
23.375 0.000559128  2
23.5 8.98311e-05  0
23.625 8.98311e-05  0
23.75 0.00189629  3
23.875 0.000574188  2
24 9.23671e-05  0
24.125 9.23671e-05  0
24.25 0.00186067  3
24.375 0.000577342  2
24.5 9.27111e-05  0
24.625 9.27111e-05  0
24.75 0.00180273  3
24.875 0.000561869  2
25 9.13793e-05  0
25.125 9.13793e-05  0
25.25 0.00183357  3
25.375 0.000567737  2
25.5 9.42146e-05  0
25.625 9.42146e-05  0
25.75 0.00170024  3
25.875 0.000530437  2
26 8.65134e-05  0
26.125 8.65134e-05  0
26.25 0.0017463  3
26.375 0.000525514  2
26.5 8.71109e-05  0
26.625 8.71109e-05  0
26.75 0.00183259  3
26.875 0.000565082  2
27 9.26982e-05  0
27.125 9.26982e-05  0
27.25 0.00171487  3
27.375 0.000547365  2
27.5 8.8785e-05  0
27.625 8.8785e-05  0
27.75 0.0018521  3
27.875 0.000544155  2
28 9.05185e-05  0
28.125 9.05185e-05  0
28.25 0.00204224  3
28.375 0.000605143  2
28.5 0.000100028  1
28.625 3.03893e-05  0
28.75 0.00200991  3
28.875 0.00059325  2
29 9.80616e-05  0
29.125 9.80616e-05  0
29.25 0.00177308  3
29.375 0.000566756  2
29.5 9.24549e-05  0
29.625 9.24549e-05  0
29.75 0.00174364  3
29.875 0.000547079  2
30 8.96519e-05  0
30.125 8.96519e-05  0
30.25 0.00164967  3
30.375 0.000521166  2
30.5 8.72028e-05  0
30.625 8.72028e-05  0
30.75 0.00165918  3
30.875 0.000531139  2
31 8.66772e-05  0
31.125 8.66772e-05  0
31.25 0.00182707  3
31.375 0.000555197  2
31.5 9.21922e-05  0
31.625 9.21922e-05  0
31.75 0.00177351  3
31.875 0.000531107  2
32 8.8431e-05  0
32.125 8.8431e-05  0
32.25 0.00172438  3
32.375 0.000535341  2
32.5 8.86626e-05  0
32.625 8.86626e-05  0
32.75 0.0018376  3
32.875 0.000592338  2
33 9.67147e-05  0
33.125 9.67147e-05  0
33.25 0.00187132  3
33.375 0.000598024  2
33.5 9.77431e-05  0
33.625 9.77431e-05  0
33.75 0.00174177  3
33.875 0.000559006  2
34 9.12903e-05  0
34.125 9.12903e-05  0
34.25 0.00171975  3
34.375 0.00055035  2
34.5 8.90287e-05  0
34.625 8.90287e-05  0
34.75 0.00183885  3
34.875 0.000577037  2
35 9.36986e-05  0
35.125 9.36986e-05  0
35.25 0.00180519  3
35.375 0.000554925  2
35.5 9.04694e-05  0
35.625 9.04694e-05  0
35.75 0.00165424  3
35.875 0.00052107  2
36 8.48736e-05  0
36.125 8.48736e-05  0
36.25 0.00177136  3
36.375 0.000551079  2
36.5 8.96305e-05  0
36.625 8.96305e-05  0
36.75 0.00188877  3
36.875 0.000575866  2
37 9.39628e-05  0
37.125 9.39628e-05  0
37.25 0.00183673  3
37.375 0.000566304  2
37.5 9.24557e-05  0
37.625 9.24557e-05  0
37.75 0.00198596  3
37.875 0.000604224  2
38 9.85949e-05  0
38.125 9.85949e-05  0
38.25 0.00198128  3
38.375 0.000602362  2
38.5 9.83349e-05  0
38.625 9.83349e-05  0
38.75 0.00178952  3
38.875 0.000550276  2
39 8.94217e-05  0
39.125 8.94217e-05  0
39.25 0.00174728  3
39.375 0.000550713  2
39.5 8.9686e-05  0
39.625 8.9686e-05  0
39.75 0.00170656  3
39.875 0.000540056  2
40 8.83288e-05  0
40.125 8.83288e-05  0
40.25 0.00161458  3
40.375 0.000524128  2
40.5 8.54409e-05  0
40.625 8.54409e-05  0
40.75 0.00185745  3
40.875 0.00060664  2
41 9.82291e-05  0
41.125 9.82291e-05  0
41.25 0.00173771  3
41.375 0.000543588  2
41.5 8.85887e-05  0
41.625 8.85887e-05  0
41.75 0.00173883  3
41.875 0.000539187  2
42 8.72028e-05  0
42.125 8.72028e-05  0
42.25 0.0017879  3
42.375 0.000559163  2
42.5 9.02486e-05  0
42.625 9.02486e-05  0
42.75 0.00200925  3
42.875 0.000626861  2
43 0.000101392  1
43.125 2.89984e-05  0
43.25 0.00180146  3
43.375 0.000570901  2
43.5 9.13204e-05  0
43.625 9.13204e-05  0
43.75 0.0017455  3
43.875 0.00056132  2
44 9.04382e-05  0
44.125 9.04382e-05  0
44.25 0.00185569  3
44.375 0.000576477  2
44.5 9.329e-05  0
44.625 9.329e-05  0
44.75 0.00185177  3
44.875 0.000566106  2
45 9.09008e-05  0
45.125 9.09008e-05  0
45.25 0.00177026  3
45.375 0.000530223  2
45.5 8.53336e-05  0
45.625 8.53336e-05  0
45.75 0.00176298  3
45.875 0.000543075  2
46 8.71828e-05  0
46.125 8.71828e-05  0
46.25 0.0018816  3
46.375 0.000577108  2
46.5 9.2303e-05  0
46.625 9.2303e-05  0
46.75 0.0019204  3
46.875 0.000582027  2
47 9.38134e-05  0
47.125 9.38134e-05  0
47.25 0.0019747  3
47.375 0.00060063  2
47.5 9.69247e-05  0
47.625 9.69247e-05  0
47.75 0.00198094  3
47.875 0.000612697  2
48 9.90865e-05  0
48.125 9.90865e-05  0
48.25 0.00189963  3
48.375 0.000579357  2
48.5 9.38208e-05  0
48.625 9.38208e-05  0
48.75 0.00176775  3
48.875 0.00056281  2
49 9.2232e-05  0
49.125 9.2232e-05  0
49.25 0.0018353  3
49.375 0.000567192  2
49.5 9.56596e-05  0
49.625 9.56596e-05  0
49.75 0.00168914  3
49.875 0.000546862  2
50 9.09012e-05  0
50.125 9.09012e-05  0
50.25 0.00186464  3
50.375 0.000605536  2
50.5 9.79184e-05  0
50.625 9.79184e-05  0
50.75 0.00167297  3
50.875 0.000542657  2
51 8.86714e-05  0
51.125 8.86714e-05  0
51.25 0.0016906  3
51.375 0.000537515  2
51.5 8.79467e-05  0
51.625 8.79467e-05  0
51.75 0.00174547  3
51.875 0.000556311  2
52 8.95919e-05  0
52.125 8.95919e-05  0
52.25 0.00190074  3
52.375 0.000612723  2
52.5 9.90663e-05  0
52.625 9.90663e-05  0
52.75 0.0019266  3
52.875 0.000615447  2
53 0.000100251  1
53.125 2.92712e-05  0
53.25 0.00186993  3
53.375 0.000583386  2
53.5 9.18381e-05  0
53.625 9.18381e-05  0
53.75 0.00196752  3
