#time Tmin Tmax uniTmin uniTmax Amin Amax
107	-0.005693 0.997569	0.997568 1.00759	1 1
107.5	-0.00568969 0.997916	0.997534 1.00784	1 1
108	-0.00566085 0.99822	0.99744 1.00798	1 1
108.5	-0.0056145 0.998461	0.997372 1.00802	1 1
109	-0.00566411 0.998596	0.997341 1.00803	1 1
109.5	-0.00569068 0.998649	0.997351 1.00803	1 1
110	-0.00569244 0.998608	0.997322 1.00825	1 1
110.5	-0.00566786 0.998457	0.997239 1.00837	1 1
111	-0.00562066 0.998268	0.997198 1.0084	1 1
111.5	-0.00565238 0.997946	0.997217 1.00836	1 1
112	-0.00568422 0.997576	0.997281 1.0082	1 1
112.5	-0.00569417 0.997037	0.997246 1.00797	1 1
113	-0.0056798 0.996623	0.997187 1.00806	1 1
113.5	-0.00564053 0.996953	0.997183 1.00815	1 1
114	-0.00562883 0.997194	0.997167 1.00815	1 1
114.5	-0.00567104 0.997303	0.997179 1.00807	1 1
115	-0.00569297 0.997294	0.997203 1.00793	1 1
115.5	-0.00569137 0.997261	0.99716 1.00772	1 1
116	-0.00566393 0.997566	0.997164 1.00745	1 1
116.5	-0.00564356 0.997693	0.997119 1.00741	1 1
117	-0.00564531 0.997653	0.99703 1.00748	1 1
117.5	-0.00567942 0.997487	0.996977 1.00747	1 1
118	-0.00569327 0.997177	0.996981 1.0074	1 1
118.5	-0.00568497 0.996856	0.996978 1.00729	1 1
119	-0.00565303 0.997627	0.996984 1.00714	1 1
119.5	-0.00565488 0.998204	0.996891 1.00695	1 1
120	-0.00563639 0.998599	0.996829 1.00672	1 1
120.5	-0.00566882 0.998787	0.996802 1.0065	1 1
121	-0.00568467 0.998775	0.996814 1.00638	1 1
121.5	-0.00568127 0.998575	0.996873 1.00644	1 1
122	-0.00565605 0.998138	0.996915 1.00649	1 1
122.5	-0.00566127 0.997457	0.996881 1.0065	1 1
123	-0.00566005 0.997659	0.996865 1.00646	1 1
123.5	-0.00564003 0.998075	0.996872 1.00637	1 1
124	-0.00566538 0.998305	0.996911 1.00625	1 1
124.5	-0.00567203 0.998302	0.996948 1.00612	1 1
